,,Reporting Quality ,,Performance bias ,,Detection bias ,Comments 
Row_ID,IVR_ID,Units,Plot Resolution ,Are measurement timepoint number sufficient? > 5,Does the shape resemble a profile? ,Are sufficient numbers of repeats used and average presented?,
1,1,% of intensity ,Poor,Yes,No ,Yes,
2,2,% of intensity ,Poor,Yes,No ,Yes,
3,3,% release,Medium,Yes,Yes,Yes,
4,4,% release,Medium,Yes,Yes,Yes,
5,5,% release,Poor,No ,No ,Yes,
6,6,% release,Poor,No ,No ,Yes,
7,7,% release,Good,No ,No ,Yes,
8,8,% release,Good,No ,No ,No,
9,9,% release,Good,No ,No ,No,Legend unclear to distinguish formulations
10,10,% release,Medium,No ,No ,No,
11,11,% release,Medium,No ,No ,No,
12,12,% release,Medium,No ,No ,No,
13,13,% release,Medium,No ,No ,No,Large markers hinder resolution 
14,14,% release,Poor,No ,No ,No,
15,15,% release,Poor,No ,No ,Yes,Overlapping datapoints hinder resolution
16,16,% release,Poor,No ,No ,Yes,
17,17,% release,Poor,No ,No ,Yes,
18,18,% release,Poor,No ,No ,No,
19,19,% release,Poor,No ,No ,No,
20,20,% release,Poor,No ,No ,No,
21,21,% release,Poor,Yes,No ,Yes,
22,22,% release,Poor,Yes,No ,Yes,
23,23,% release,Medium,Yes,Yes,Yes,
24,24,% release,Medium,Yes,Yes,Yes,Initial overlapping datapoints 
25,25,% release,Medium,Yes,No ,Yes,
26,26,% release,Medium,Yes,No ,Yes,
27,27,% release,Medium,Yes,Yes,Yes,
28,28,% release,Medium,Yes,Yes,Yes,
29,29,% release,Medium,Yes,No ,Yes,
30,30,% release,Medium,Yes,No ,Yes,
31,31,% release,Medium,Yes,Yes,Yes,
32,32,% release,Medium,Yes,Yes,Yes,
33,33,% release,Good,Yes,Yes,Yes,
34,34,% release,Good,Yes,Yes,Yes,
35,35,% release,Medium,Yes,Yes,Yes,
36,36,% release,Medium,Yes,Yes,Yes,
37,37,% release,Poor,Yes,Yes,Yes,
38,38,% release,Medium,Yes,No ,Yes,
39,39,% release,Poor,Yes,Yes,Yes,
40,40,% release,Poor,Yes,Yes,Yes,
41,41,% release,Poor,Yes,No ,Yes,
42,42,% release,Poor,Yes,No ,Yes,
43,43,% release,Poor,Yes,No ,Yes,
44,44,% release,Poor,Yes,No ,Yes,
45,45,% release,Poor,Yes,Yes,Yes,
46,46,% release,Poor,Yes,Yes,Yes,
47,47,% release,Medium,Yes,Yes,Yes,
48,48,% release,Poor,Yes,Yes,Yes,
49,49,% release,Poor,Yes,Yes,Yes,
50,50,% release,Medium,Yes,Yes,Yes,
51,51,% release,Poor,Yes,Yes,Yes,
52,52,% release,Poor,Yes,Yes,Yes,
53,53,% release,Medium,Yes,Yes,Yes,
54,54,% release,Medium,Yes,Yes,Yes,
55,55,% release,Good,Yes,No ,Yes,Non-centered initial start
56,56,% release,Good,Yes,Yes,Yes,
57,57,% release,Good,Yes,Yes,Yes,
58,58,cumulative release %,Good,Yes,Yes,Yes,
59,59,cumulative release %,Good,Yes,Yes,Yes,
60,60,cumulative release %,Good,Yes,Yes,Yes,
61,61,cumulative release %,Good,Yes,Yes,Yes,
62,62,cumulative release %,Good,Yes,Yes,Yes,
63,68,cumulative release %,Good,Yes,No ,Yes,
64,69,cumulative release %,Good,Yes,No ,Yes,
65,70,cumulative release %,Good,Yes,Yes,Yes,
66,71,cumulative release %,Good,Yes,Yes,Yes,
67,72,cumulative release %,Good,Yes,Yes,Yes,
68,73,cumulative release %,Good,Yes,Yes,Yes,
69,74,cumulative release %,Good,Yes,Yes,Yes,
70,75,cumulative release %,Good,Yes,Yes,Yes,
71,76,cumulative release %,Good,Yes,Yes,Yes,
72,77,cumulative release %,Good,Yes,Yes,Yes,
73,78,cumulative release %,Good,Yes,Yes,Yes,
74,79,% release,Good,Yes,Yes,Yes,
75,80,% release,Good,Yes,Yes,Yes,
76,81,% release,Good,Yes,Yes,Yes,
77,82,% release,Good,Yes,Yes,Yes,
78,83,% release,Medium,Yes,Yes,Yes,
79,84,% release,Medium,Yes,Yes,Yes,
80,85,% release,Good,Yes,Yes,Yes,
81,86,% release,Medium,Yes,Yes,Yes,
82,87,% release,Medium,Yes,Yes,Yes,
83,88,% release,Medium,Yes,Yes,Yes,
84,89,% release,Medium,Yes,Yes,Yes,
85,91,% release,Medium,Yes,Yes,Yes,
86,92,% release,Medium,Yes,Yes,Yes,
87,93,% release,Medium,Yes,No ,No,
88,94,% release,Good,Yes,Yes,Yes,
89,95,% release,Medium,Yes,Yes,Yes,
90,96,% release,Good,Yes,Yes,Yes,
91,97,% release,Good,Yes,Yes,Yes,
92,98,% release,Good,Yes,Yes,Yes,
93,99,% release,Medium,Yes,Yes,Yes,
94,100,% release,Medium,Yes,Yes,Yes,
95,101,cumulative release %,Medium,Yes,Yes,Yes,
96,102,cumulative release %,Medium,Yes,Yes,Yes,
97,103,cumulative release %,Medium,Yes,Yes,Yes,
98,104,cumulative release %,Medium,Yes,Yes,Yes,
99,105,cumulative release %,Good,Yes,Yes,Yes,
100,106,cumulative release %,Good,Yes,Yes,Yes,
101,107,cumulative release %,Good,Yes,Yes,Yes,
102,108,cumulative release %,Good,Yes,Yes,Yes,
103,109,cumulative release %,Medium,Yes,Yes,Yes,
104,110,cumulative release %,Medium,Yes,Yes,Yes,
105,111,cumulative release %,Medium,Yes,Yes,Yes,
106,112,cumulative release %,Medium,Yes,Yes,Yes,
107,113,cumulative release %,Medium,Yes,Yes,Yes,
108,114,cumulative release %,Medium,Yes,Yes,Yes,
109,115,cumulative release %,Medium,Yes,Yes,Yes,
110,116,cumulative release %,Medium,Yes,Yes,Yes,
111,117,cumulative release %,Good,Yes,Yes,Yes,
112,118,cumulative release %,Good,Yes,Yes,Yes,
113,119,cumulative release %,Good,Yes,Yes,Yes,
114,120,cumulative release %,Good,Yes,Yes,Yes,
115,121,cumulative release %,Good,Yes,Yes,Yes,
116,122,cumulative release %,Good,Yes,Yes,Yes,
117,123,cumulative release %,Good,Yes,Yes,Yes,
118,124,cumulative release %,Good,Yes,Yes,Yes,
119,125,cumulative release %,Good,Yes,Yes,Yes,
120,126,cumulative release %,Good,Yes,Yes,Yes,
121,127,% release,Good,Yes,Yes,Yes,
122,131,% release,Good,Yes,Yes,Yes,
123,132,% release,Good,Yes,Yes,Yes,
124,133,% release,Good,Yes,Yes,Yes,
125,134,% release,Good,Yes,Yes,Yes,
126,135,% release,Good,Yes,Yes,Yes,
127,136,% release,Good,Yes,Yes,Yes,
128,137,% release,Good,Yes,Yes,Yes,
129,138,% release,Good,Yes,Yes,Yes,
130,139,% release,Good,Yes,Yes,Yes,
131,140,% release,Good,Yes,Yes,Yes,
132,141,% release,Good,Yes,Yes,Yes,
133,173,% release,Good,Yes,Yes,Yes,
134,174,% release,Good,Yes,Yes,Yes,
135,175,% release,Medium,Yes,Yes,Yes,
136,176,% release,Medium,Yes,Yes,Yes,
137,177,% release,Medium,Yes,Yes,Yes,
138,178,% release,Medium,Yes,Yes,Yes,
139,179,% release,Medium,Yes,Yes,Yes,
140,180,% release,Poor,Yes,No ,Yes,
141,181,% release,Poor,Yes,No ,Yes,
142,182,% release,Poor,Yes,No ,Yes,
143,183,% release,Good,Yes,Yes,Yes,
144,184,% release,Good,Yes,Yes,Yes,
145,185,% release,Good,Yes,Yes,Yes,
146,186,% release,Poor,Yes,No ,Yes,
147,187,% release,Poor,Yes,No ,Yes,
148,188,% release,Poor,Yes,No ,Yes,
149,189,% release,Good,Yes,Yes,Yes,
150,190,% release,Good,Yes,Yes,Yes,
151,191,% release,Good,Yes,Yes,Yes,
152,192,% release ,Good,Yes,No ,Yes,
153,193,% release ,Good,Yes,No ,Yes,
154,194,% release ,Good,Yes,No ,Yes,
155,195,% release ,Good,Yes,No ,Yes,
156,196,% release ,Good,Yes,No ,Yes,
157,197,% release,Good,Yes,Yes,Yes,
158,198,% release,Good,Yes,Yes,Yes,
159,199,% release,Good,Yes,Yes,Yes,
160,200,% release,Good,Yes,Yes,Yes,
161,201,% release ,Medium,Yes,No ,Yes,
162,202,% release ,Medium,Yes,No ,Yes,
163,203,% release ,Good,Yes,Yes,Yes,
164,204,% release ,Medium,Yes,No ,Yes,
165,205,% release ,Good,Yes,Yes,Yes,
166,206,% release ,Good,Yes,Yes,Yes,
167,207,% release ,Good,Yes,Yes,Yes,
168,208,% release ,Good,Yes,Yes,Yes,
169,209,% release ,Good,Yes,Yes,Yes,
170,210,% release ,Good,Yes,Yes,Yes,
171,211,% release ,Good,Yes,Yes,Yes,
172,212,% release ,Good,Yes,No ,Yes,
173,213,% release ,Good,Yes,Yes,Yes,
174,214,% release ,Good,Yes,Yes,Yes,
175,215,% release ,Good,Yes,Yes,Yes,
176,216,% release ,Good,Yes,Yes,Yes,
177,217,% release ,Good,Yes,Yes,Yes,
178,218,% release ,Good,Yes,Yes,Yes,
179,219,% release ,Good,Yes,Yes,Yes,
180,220,% release ,Good,Yes,Yes,Yes,
181,221,% release ,Good,Yes,Yes,Yes,
182,222,% release ,Good,Yes,Yes,Yes,
183,223,% release ,Good,Yes,Yes,Yes,
184,224,% release ,Good,Yes,Yes,Yes,
185,225,% release ,Good,Yes,Yes,Yes,
186,226,Cumulative release %,Good,No,No ,Yes,
187,227,Cumulative release %,Good,No,No ,Yes,
188,228,Cumulative release %,Good,No,No ,Yes,
189,229,Cumulative release %,Good,No,No ,Yes,
190,230,Cumulative release %,Good,Yes,Yes,Yes,
191,231,Cumulative release %,Good,Yes,Yes,Yes,
192,232,Cumulative release %,Good,Yes,Yes,Yes,
193,233,Cumulative release %,Good,Yes,Yes,Yes,
194,234,Cumulative release %,Good,Yes,Yes,Yes,
195,235,Cumulative release %,Good,Yes,Yes,Yes,
196,236,Cumulative release %,Good,Yes,Yes,Yes,
197,237,Cumulative release %,Good,Yes,Yes,Yes,
198,238,Cumulative release %,Good,Yes,Yes,Yes,
199,239,Cumulative release %,Good,Yes,Yes,Yes,
200,240,Cumulative release %,Good,Yes,Yes,Yes,
201,241,Cumulative release %,Good,Yes,Yes,Yes,
202,242,Cumulative release %,Good,Yes,Yes,Yes,
203,243,Cumulative release %,Good,Yes,Yes,Yes,
204,244,Cumulative release %,Good,Yes,Yes,Yes,
205,245,Cumulative release %,Good,Yes,No ,Yes,
206,250,Release %,Good,Yes,Yes,Yes,
207,251,Release %,Good,Yes,Yes,Yes,
208,252,Release %,Good,Yes,Yes,Yes,
209,253,Release %,Good,Yes,Yes,Yes,
210,254,Release %,Good,Yes,Yes,Yes,
211,255,Release %,Good,Yes,Yes,Yes,
212,256,Release %,Good,Yes,Yes,Yes,
213,257,Release %,Good,Yes,Yes,Yes,
214,258,Release %,Good,Yes,Yes,Yes,
215,259,Release %,Good,Yes,Yes,Yes,
216,260,Release %,Good,Yes,Yes,Yes,
217,261,Release %,Good,Yes,Yes,Yes,
218,262,Release %,Good,Yes,Yes,Yes,
219,263,Release %,Good,Yes,Yes,Yes,
220,264,Release %,Good,Yes,Yes,Yes,
221,265,Release %,Good,Yes,Yes,Yes,
